id,isHigherBetter,metricName,metricValue,createdAt,updatedAt,deletedAt,userId,submissionMethodRefId,submissionTaskRefId,evaluatedAt,notes,standardError,sampleSize,submissionPlatformRefId,qubitCount,circuitDepth,shots,submissionDataSetRefId
1718,f,Toffoli count,5.5303480472357946e+38,2024-03-05 15:04:26.539+00,2024-03-05 15:04:26.539+00,,19,1042,1081,2022-09-27,"k=8, n=262144",,,,,,,
1717,f,Toffoli count,2.1600614675713643e+36,2024-03-05 15:04:10.309+00,2024-03-05 15:04:10.309+00,,19,1042,1081,2022-09-27,"k=8, n=131072",,,,,,,
1716,f,Toffoli count,8.435937701339247e+33,2024-03-05 15:03:58.004+00,2024-03-05 15:03:58.004+00,,19,1042,1081,2022-09-27,"k=8, n=65536",,,,,,,
1715,f,Toffoli count,3.2938804052325523e+31,2024-03-05 15:03:46.186+00,2024-03-05 15:03:46.186+00,,19,1042,1081,2022-09-27,"k=8, n=32768",,,,,,,
1714,f,Toffoli count,1.2855728001997967e+29,2024-03-05 15:03:33.238+00,2024-03-05 15:03:33.238+00,,19,1042,1081,2022-09-27,"k=8, n=16384",,,,,,,
1713,f,Toffoli count,5.013190031671481e+26,2024-03-05 15:03:23.252+00,2024-03-05 15:03:23.252+00,,19,1042,1081,2022-09-27,"k=8, n=8192",,,,,,,
1712,f,Toffoli count,1.9515893375809206e+24,2024-03-05 15:03:12.944+00,2024-03-05 15:03:12.944+00,,19,1042,1081,2022-09-27,"k=8, n=4096",,,,,,,
1711,f,Toffoli count,7.571365534761592e+21,2024-03-05 15:02:57.883+00,2024-03-05 15:02:57.883+00,,19,1042,1081,2022-09-27,"k=8, n=2048",,,,,,,
1710,f,Toffoli count,2.9172576776381825e+19,2024-03-05 15:02:47.406+00,2024-03-05 15:02:47.406+00,,19,1042,1081,2022-09-27,"k=8, n=1024",,,,,,,
1709,f,Toffoli count,1.1085923125474912e+17,2024-03-05 15:02:35.93+00,2024-03-05 15:02:35.93+00,,19,1042,1081,2022-09-27,"k=8, n=512",,,,,,,
1708,f,Toffoli count,409663695276000,2024-03-05 15:02:25.26+00,2024-03-05 15:02:25.26+00,,19,1042,1081,2022-09-27,"k=8, n=256",,,,,,,
1707,f,Toffoli count,1429702652400,2024-03-05 15:02:14.488+00,2024-03-05 15:02:14.488+00,,19,1042,1081,2022-09-27,"k=8, n=128",,,,,,,
